,time,s_user,s_domain,scom,dcom
104,741971,U4856,DOM1,C17693,C1015
105,743030,U5087,DOM1,C17693,C1448
106,743134,U5087,DOM1,C17693,C359
107,743223,U5087,DOM1,C17693,C21963
108,743232,U5087,DOM1,C17693,C359
109,743403,U5087,DOM1,C17693,C21963
110,743411,U5087,DOM1,C17693,C21963
111,743502,U5087,DOM1,C17693,C1268
112,743509,U5087,DOM1,C17693,C353
113,743733,U9763,DOM1,C17693,C353
114,743965,U9763,DOM1,C17693,C21814
115,744145,U5087,DOM1,C17693,C21814
116,744215,U795,DOM1,C17693,C10005
117,744255,U5087,DOM1,C17693,C353
118,744902,U9947,DOM1,C17693,C20966
119,745795,U9947,DOM1,C17693,C853
120,745961,U9947,DOM1,C17693,C853
121,746039,U9947,DOM1,C17693,C853
122,746078,U9947,DOM1,C17693,C923
123,746151,U882,DOM1,C17693,C11039
124,746353,U882,DOM1,C17693,C1616
125,746387,U8777,C583,C17693,C583
126,746595,U882,DOM1,C17693,C1616
127,746638,U9947,DOM1,C17693,C346
128,746860,U9947,DOM1,C17693,C20203
129,747001,U1450,DOM1,C17693,C12448
130,747145,U9947,DOM1,C17693,C20203
131,747163,U1450,DOM1,C17693,C12448
132,747229,U8777,C583,C17693,C583
133,747247,U8777,C1500,C17693,C1500
134,747259,U1450,DOM1,C17693,C12448
135,747388,U9947,DOM1,C17693,C346
136,747457,U9947,DOM1,C17693,C1479
137,747478,U8777,C3388,C17693,C3388
138,747653,U1450,DOM1,C17693,C12448
139,747939,U374,DOM1,C17693,C1461
140,748041,U1450,DOM1,C17693,C1119
141,748127,U2575,DOM1,C17693,C19156
142,748207,U2575,DOM1,C17693,C19156
143,748272,U1450,DOM1,C17693,C18113
144,748397,U374,DOM1,C17693,C1461
145,748428,U1450,DOM1,C17693,C18113
146,748806,U9947,DOM1,C17693,C19803
147,748860,U9947,DOM1,C17693,C17425
148,749000,U9947,DOM1,C17693,C19803
149,749054,U9947,DOM1,C17693,C19803
150,749816,U3718,DOM1,C17693,C9692
151,749823,U9947,DOM1,C17693,C7131
152,750304,U2575,DOM1,C17693,C8172
153,750307,U342,DOM1,C17693,C7503
154,750419,U342,DOM1,C17693,C7503
155,751373,U737,DOM1,C17693,C7597
156,751918,U737,DOM1,C17693,C2578
157,752606,U6572,DOM1,C17693,C90
158,752613,U737,DOM1,C17693,C21814
159,752892,U2575,DOM1,C17693,C1477
160,753250,U9763,DOM1,C17693,C21814
161,753336,U162,DOM1,C17693,C4845
162,754096,U162,DOM1,C17693,C3292
163,754601,U2575,DOM1,C17693,C7597
164,754921,U314,DOM1,C17693,C2914
165,755200,U737,DOM1,C17693,C19356
166,755904,U162,DOM1,C17693,C798
167,756149,U737,DOM1,C17693,C302
168,757235,U737,DOM1,C17693,C1125
169,757456,U737,DOM1,C17693,C3437
170,757625,U642,DOM1,C17693,C2648
171,757755,U642,DOM1,C17693,C2648
172,758430,U737,DOM1,C17693,C6513
173,758915,U737,DOM1,C17693,C15197
174,759396,U3635,DOM1,C17693,C17806
175,760075,U1653,DOM1,C17693,C395
176,760132,U1653,DOM1,C17693,C754
177,760148,U1653,DOM1,C17693,C706
178,760168,U1653,DOM1,C17693,C231
179,760175,U1653,DOM1,C17693,C2669
180,760196,U3635,DOM1,C17693,C16467
181,760388,U342,DOM1,C17693,C6487
182,760473,U342,DOM1,C17693,C6487
183,760694,U342,DOM1,C17693,C113
184,760807,U3635,DOM1,C17693,C2816
185,761028,U342,DOM1,C17693,C458
186,761039,U3635,DOM1,C17693,C21664
187,761134,U3635,DOM1,C17693,C2085
188,761173,U342,DOM1,C17693,C3586
189,761524,U3635,DOM1,C17693,C19444
190,762009,U3635,DOM1,C17693,C917
191,762157,U3635,DOM1,C17693,C917
192,762536,U3635,DOM1,C17693,C12682
193,762568,U3635,DOM1,C17693,C12682
194,762834,U3635,DOM1,C17693,C2091
195,762845,U3635,DOM1,C17693,C1506
196,763783,U3635,DOM1,C17693,C12512
197,764106,U293,DOM1,C17693,C231
198,764120,U293,DOM1,C17693,C706
199,764133,U293,DOM1,C17693,C882
200,764140,U1480,DOM1,C17693,C881
201,764180,U1480,DOM1,C17693,C2388
202,764249,U293,DOM1,C17693,C46
203,764281,U293,DOM1,C17693,C883
204,764284,U1480,DOM1,C17693,C1191
205,764310,U1480,DOM1,C17693,C5653
206,764405,U293,DOM1,C17693,C633
207,764522,U1480,DOM1,C17693,C1183
208,764561,U293,DOM1,C17693,C2844
209,764570,U1480,DOM1,C17693,C1776
210,764595,U1480,DOM1,C17693,C464
211,764673,U293,DOM1,C17693,C5453
212,764752,U293,DOM1,C17693,C4161
213,764900,U293,DOM1,C17693,C513
214,764929,U1480,DOM1,C17693,C1
215,764943,U1480,DOM1,C17693,C1776
216,765016,U293,DOM1,C17693,C1215
217,765175,U293,DOM1,C17693,C2849
218,765231,U1480,DOM1,C17693,C2012
219,765278,U293,DOM1,C17693,C3455
220,765488,U293,DOM1,C17693,C4159
221,765776,U162,DOM1,C17693,C1006
222,765788,U162,DOM1,C17693,C92
223,765805,U293,DOM1,C17693,C801
224,765817,U162,DOM1,C17693,C1022
225,765934,U314,DOM1,C17693,C2914
226,765960,U293,DOM1,C17693,C11039
227,766132,U293,DOM1,C17693,C1737
228,766150,U293,DOM1,C17693,C1710
229,766164,U293,DOM1,C17693,C231
230,766183,U293,DOM1,C17693,C395
231,766534,U162,DOM1,C17693,C3435
232,766588,U162,DOM1,C17693,C3435
233,766788,U66,DOM1,C17693,C3435
234,766846,U66,DOM1,C17693,C61
235,766879,U1164,DOM1,C17693,C2091
236,767001,U66,DOM1,C17693,C307
237,767180,U66,DOM1,C17693,C3699
238,767187,U2837,DOM1,C17693,C395
239,767195,U2837,DOM1,C17693,C2519
240,767205,U2837,DOM1,C17693,C1784
241,767225,U2837,DOM1,C17693,C1784
242,767233,U2837,DOM1,C17693,C8490
243,767238,U2837,DOM1,C17693,C1484
244,767246,U2837,DOM1,C17693,C89
245,767288,U66,DOM1,C17693,C3755
246,767289,U7394,DOM1,C17693,C492
247,767300,U7394,DOM1,C17693,C1797
248,767320,U7394,DOM1,C17693,C1797
249,767445,U4353,DOM1,C17693,C801
250,767813,U66,DOM1,C17693,C2944
251,767865,U4353,DOM1,C17693,C2519
252,767944,U4353,DOM1,C17693,C17636
253,768006,U1048,DOM1,C17693,C12320
254,768058,U4353,DOM1,C17693,C17636
255,768162,U4353,DOM1,C17693,C18190
256,768220,U4353,DOM1,C17693,C18190
257,768373,U4353,DOM1,C17693,C21349
258,768404,U66,DOM1,C17693,C2196
259,768546,U4353,DOM1,C17693,C17860
260,768556,U66,DOM1,C17693,C306
261,768634,U66,DOM1,C17693,C306
262,768636,U5254,DOM1,C17693,C12320
263,768646,U4353,DOM1,C17693,C17636
264,768664,U4353,DOM1,C17693,C17636
265,768685,U4353,DOM1,C17693,C17776
266,768742,U66,DOM1,C17693,C1944
267,768832,U995,DOM1,C17693,C3173
268,768847,U995,DOM1,C17693,C2058
269,769022,U8601,DOM1,C17693,C636
270,769067,U1048,DOM1,C17693,C2846
271,769069,U5254,DOM1,C17693,C636
272,769094,U66,DOM1,C17693,C1732
273,769149,U1048,DOM1,C17693,C2846
274,769352,U66,DOM1,C17693,C1028
275,769431,U1048,DOM1,C17693,C231
276,769440,U1048,DOM1,C17693,C706
277,769461,U1048,DOM1,C17693,C7464
278,769507,U66,DOM1,C17693,C1823
279,769626,U1048,DOM1,C17693,C13713
280,769638,U66,DOM1,C17693,C779
281,769751,U66,DOM1,C17693,C3305
282,769822,U1048,DOM1,C17693,C20455
283,769933,U66,DOM1,C17693,C1952
284,770056,U66,DOM1,C17693,C2388
285,770115,U7375,DOM1,C17693,C2519
286,770138,U737,DOM1,C17693,C7597
287,770222,U9763,DOM1,C17693,C11178
288,770387,U7375,DOM1,C17693,C1415
289,770512,U4448,DOM1,C17693,C11178
290,770601,U7375,DOM1,C17693,C636
291,770651,U66,DOM1,C17693,C765
292,770726,U7375,DOM1,C17693,C7782
293,770816,U66,DOM1,C17693,C92
294,770870,U7375,DOM1,C17693,C21946
295,770932,U7375,DOM1,C17693,C143
296,770950,U66,DOM1,C17693,C742
297,771133,U7375,DOM1,C17693,C1626
298,771134,U4448,DOM1,C17693,C1555
299,771340,U9763,DOM1,C17693,C353
300,771380,U9763,DOM1,C17693,C1089
301,771393,U9763,DOM1,C17693,C2057
302,771401,U9763,DOM1,C17693,C1503
303,771443,U4448,DOM1,C17693,C1503
304,771463,U4448,DOM1,C17693,C400
305,771615,U4448,DOM1,C17693,C2519
306,771631,U4448,DOM1,C17693,C1549
307,772253,U66,DOM1,C17693,C5653
308,772715,U66,DOM1,C17693,C5653
309,772864,U66,DOM1,C17693,C398
310,772906,U218,DOM1,C17693,C3755
311,772934,U218,DOM1,C17693,C2079
312,772964,U218,DOM1,C17693,C1936
313,773143,U4112,DOM1,C17693,C1611
314,773153,U4112,DOM1,C17693,C3758
315,773270,U4978,DOM1,C17693,C12116
316,773387,U4978,DOM1,C17693,C1438
317,773961,U66,DOM1,C17693,C765
318,774180,U66,DOM1,C17693,C1710
319,774214,U66,DOM1,C17693,C1966
320,774452,U66,DOM1,C17693,C2388
321,774492,U162,DOM1,C17693,C2388
322,774514,U218,DOM1,C17693,C2388
323,830548,U1653,DOM1,C22409,C754
324,830548,U1653,DOM1,C22409,C754
325,830548,U1653,DOM1,C22409,C754
326,830548,U1653,DOM1,C22409,C754
327,830548,U1653,DOM1,C22409,C754
328,830550,U1653,DOM1,C22409,C754
329,830578,U1653,DOM1,C22409,C754
330,830578,U1653,DOM1,C22409,C754
331,830578,U1653,DOM1,C22409,C754
332,830578,U1653,DOM1,C22409,C754
333,830580,U1653,DOM1,C22409,C754
334,830580,U1653,DOM1,C22409,C754
335,830822,U1653,DOM1,C22409,C754
336,830822,U1653,DOM1,C22409,C754
337,830822,U1653,DOM1,C22409,C754
338,1066394,U66,DOM1,C17693,C3610
339,1066725,U66,DOM1,C17693,C881
340,1066734,U66,DOM1,C17693,C1482
341,1066786,U66,DOM1,C17693,C2388
342,1068312,U12,DOM1,C17693,C366
343,1068390,U66,DOM1,C17693,C3813
344,1068507,U66,DOM1,C17693,C4610
345,1068638,U66,DOM1,C17693,C626
346,1068692,U66,DOM1,C17693,C626
347,1068753,U66,DOM1,C17693,C626
348,1068810,U66,DOM1,C17693,C1191
349,1068887,U12,DOM1,C17693,C368
350,1069035,U66,DOM1,C17693,C1006
351,1069965,U66,DOM1,C17693,C3755
352,1070004,U1723,DOM1,C17693,C1438
353,1070020,U1723,DOM1,C17693,C1438
354,1070026,U1723,DOM1,C17693,C1438
355,1070066,U4448,DOM1,C17693,C1438
356,1070076,U4448,DOM1,C17693,C1438
357,1070100,U5254,DOM1,C17693,C1438
358,1070107,U66,DOM1,C17693,C398
359,1070146,U3635,DOM1,C17693,C1438
360,1070182,U2575,DOM1,C17693,C1438
361,1070204,U4112,DOM1,C17693,C1438
362,1070442,U342,DOM1,C17693,C2519
363,1070496,U342,DOM1,C17693,C2519
364,1071248,U66,DOM1,C17693,C5653
365,1071508,U13,DOM1,C17693,C430
366,1071580,U12,DOM1,C17693,C368
367,1072230,U13,DOM1,C17693,C3288
368,1072237,U66,DOM1,C17693,C92
369,1072316,U1289,DOM1,C17693,C2519
370,1072375,U66,DOM1,C17693,C5653
371,1072432,U2575,DOM1,C17693,C2519
372,1072444,U1289,DOM1,C17693,C2519
373,1072594,U218,DOM1,C17693,C3288
374,1072660,U3277,C2519,C17693,C2519
375,1072662,U66,DOM1,C17693,C3288
376,1072710,U342,DOM1,C17693,C2519
377,1072860,U342,DOM1,C17693,C2519
378,1072904,U66,DOM1,C17693,C849
379,1072952,U1519,DOM1,C17693,C849
380,1072980,U66,DOM1,C17693,C1737
381,1072989,U66,DOM1,C17693,C2012
382,1072998,U7761,C2519,C17693,C2519
383,1072998,U66,DOM1,C17693,C2079
384,1073108,U66,DOM1,C17693,C102
385,1073709,U66,DOM1,C17693,C1042
386,1073778,U7004,C2519,C17693,C2519
387,1073810,U7761,C2519,C17693,C2519
388,1073892,U4448,DOM1,C17693,C22275
389,1073973,U66,DOM1,C17693,C92
390,1074074,U66,DOM1,C17693,C1944
391,1074146,U66,DOM1,C17693,C1737
392,1074158,U66,DOM1,C17693,C2079
393,1074182,U66,DOM1,C17693,C1964
394,1074395,U66,DOM1,C17693,C1961
395,1074512,U66,DOM1,C17693,C423
396,1074519,U218,DOM1,C17693,C92
397,1074529,U218,DOM1,C17693,C92
398,1074543,U218,DOM1,C17693,C92
399,1074590,U218,DOM1,C17693,C5653
400,1074741,U66,DOM1,C17693,C1936
401,1074754,U66,DOM1,C17693,C1737
402,1074902,U66,DOM1,C17693,C2388
403,1074927,U66,DOM1,C17693,C3380
404,1074955,U66,DOM1,C17693,C3635
405,1074964,U66,DOM1,C17693,C2388
406,1075026,U207,DOM1,C17693,C2388
407,1075076,U162,DOM1,C17693,C2388
408,1075096,U1145,DOM1,C17693,C2388
409,1075114,U453,DOM1,C17693,C2388
410,1075158,U1480,DOM1,C17693,C2388
411,1075345,U66,DOM1,C17693,C452
412,1075356,U66,DOM1,C17693,C1015
413,1075370,U66,DOM1,C17693,C22174
414,1075526,U9263,DOM1,C17693,C1015
415,1075605,U66,DOM1,C17693,C5439
416,1075609,U66,DOM1,C17693,C5439
417,1075721,U66,DOM1,C17693,C4106
418,1075884,U20,DOM1,C17693,C368
419,1075914,U66,DOM1,C17693,C368
420,1075935,U66,DOM1,C17693,C5343
421,1075980,U12,DOM1,C17693,C368
422,1076286,U66,DOM1,C17693,C1482
423,1076295,U66,DOM1,C17693,C881
424,1076311,U66,DOM1,C17693,C2013
425,1076662,U1480,DOM1,C17693,C2388
426,1076742,U453,DOM1,C17693,C2388
427,1076776,U162,DOM1,C17693,C2388
428,1076812,U207,DOM1,C17693,C2388
429,1077008,U66,DOM1,C17693,C2388
430,1077014,U66,DOM1,C17693,C2388
431,1077018,U66,DOM1,C17693,C2388
432,1077024,U66,DOM1,C17693,C2388
433,1077048,U7507,DOM1,C17693,C486
434,1077076,U415,DOM1,C17693,C486
435,1077140,U218,DOM1,C17693,C1710
436,1077169,U415,DOM1,C17693,C1570
437,1077228,U218,DOM1,C17693,C2079
438,1077256,U218,DOM1,C17693,C2388
439,1077293,U218,DOM1,C17693,C1936
440,1077500,U1145,DOM1,C17693,C2388
441,1077516,U1145,DOM1,C17693,C1737
442,1077530,U1145,DOM1,C17693,C2877
443,1077579,U1145,DOM1,C17693,C3019
444,1077589,U1145,DOM1,C17693,C115
445,1077598,U1145,DOM1,C17693,C307
446,1077746,U1145,DOM1,C17693,C2877
447,1077864,U1145,DOM1,C17693,C2877
448,1077992,U1145,DOM1,C17693,C3173
449,1078024,U415,DOM1,C17693,C3173
450,1078070,U1569,DOM1,C17693,C3019
451,1078099,U1145,DOM1,C17693,C3019
452,1078108,U415,DOM1,C17693,C1906
453,1078155,U1581,DOM1,C17693,C3019
454,1078163,U6764,DOM1,C17693,C3019
455,1078177,U66,DOM1,C17693,C3019
456,1078582,U1789,DOM1,C17693,C3019
457,1079716,U66,DOM1,C17693,C22174
458,1079728,U66,DOM1,C17693,C22176
459,1079836,U66,DOM1,C17693,C553
460,1079852,U66,DOM1,C17693,C3888
461,1079871,U66,DOM1,C17693,C2013
462,1079883,U66,DOM1,C17693,C1085
463,1079893,U66,DOM1,C17693,C881
464,1079904,U66,DOM1,C17693,C243
465,1079916,U66,DOM1,C17693,C4403
466,1079926,U66,DOM1,C17693,C798
467,1080030,U66,DOM1,C17693,C5111
468,1080147,U66,DOM1,C17693,C506
469,1080418,U66,DOM1,C17693,C429
470,1080494,U7507,DOM1,C17693,C16401
471,1080552,U66,DOM1,C17693,C3610
472,1080926,U66,DOM1,C17693,C1096
473,1081539,U6691,DOM1,C17693,C1936
474,1081550,U6691,DOM1,C17693,C2079
475,1081595,U1723,DOM1,C17693,C2519
476,1081625,U1723,DOM1,C17693,C2519
477,1081727,U1289,DOM1,C17693,C17640
478,1081806,U1450,DOM1,C17693,C1268
479,1081813,U1289,DOM1,C17693,C17640
480,1081970,U1450,DOM1,C17693,C1268
481,1082081,U1289,DOM1,C17693,C3758
482,1082091,U1450,DOM1,C17693,C1268
483,1082118,U1450,DOM1,C17693,C1268
484,1082123,U66,DOM1,C17693,C3758
485,1082244,U66,DOM1,C17693,C2254
486,1086525,U3635,DOM1,C17693,C8209
487,1086539,U3635,DOM1,C17693,C8209
488,1086678,U78,DOM1,C17693,C1581
489,1086690,U78,DOM1,C17693,C1581
490,1087158,U3005,DOM1,C17693,C1737
491,1087189,U3005,DOM1,C17693,C1936
492,1087878,U3005,DOM1,C17693,C423
493,1087928,U3005,DOM1,C17693,C2079
494,1088437,U3005,DOM1,C17693,C1936
495,1089101,U3005,DOM1,C17693,C1936
496,1089306,U3005,DOM1,C17693,C1944
497,1089536,U1133,DOM1,C17693,C2012
498,1089597,U737,DOM1,C19932,C586
499,1089603,U9263,DOM1,C17693,C1015
500,1089642,U3005,DOM1,C17693,C2012
501,1089975,U9263,DOM1,C17693,C1015
502,1090079,U9263,DOM1,C17693,C1015
503,1090503,U8601,DOM1,C17693,C636
504,1090581,U8601,DOM1,C17693,C20819
505,1090599,U8601,DOM1,C17693,C20819
506,1090929,U8601,DOM1,C17693,C20819
507,1092177,U3005,DOM1,C17693,C3629
508,1092406,U3486,DOM1,C22409,C457
509,1093668,U4448,DOM1,C17693,C1224
510,1093723,U3486,DOM1,C22409,C467
511,1093884,U4448,DOM1,C17693,C1224
512,1093906,U4448,DOM1,C17693,C1224
513,1094470,U2231,DOM1,C17693,C3249
514,1094497,U2231,DOM1,C17693,C1438
515,1095235,U2231,DOM1,C17693,C1432
516,1095555,U3005,DOM1,C17693,C3629
517,1095655,U3005,DOM1,C17693,C506
518,1095678,U3005,DOM1,C17693,C849
519,1095686,U3005,DOM1,C17693,C965
520,1095697,U3005,DOM1,C17693,C246
521,1095704,U3005,DOM1,C17693,C477
522,1095729,U3005,DOM1,C17693,C3635
523,1095736,U3005,DOM1,C17693,C687
524,1095853,U3005,DOM1,C17693,C1319
525,1095893,U3005,DOM1,C17693,C8209
526,1095907,U3005,DOM1,C17693,C8209
527,1096005,U3005,DOM1,C17693,C3303
528,1096265,U3005,DOM1,C17693,C1737
529,1096446,U2575,DOM1,C17693,C5618
530,1096467,U3005,DOM1,C17693,C2079
531,1096474,U2231,DOM1,C17693,C5618
532,1096483,U2231,DOM1,C17693,C5618
533,1098904,U3005,DOM1,C17693,C2604
534,1099075,U1133,DOM1,C17693,C3635
535,1099219,U7507,DOM1,C17693,C1015
536,1099237,U7507,DOM1,C17693,C1015
537,1099689,U1592,DOM1,C17693,C3758
538,1099711,U1592,DOM1,C17693,C1382
539,1099725,U1592,DOM1,C17693,C20677
540,1099816,U1592,DOM1,C17693,C18464
541,1100031,U7507,DOM1,C17693,C4773
542,1100071,U7507,DOM1,C17693,C1015
543,1100193,U7507,DOM1,C17693,C1015
544,1100280,U1592,DOM1,C17693,C395
545,1100293,U1592,DOM1,C17693,C395
546,1101313,U7507,DOM1,C17693,C486
547,1152460,U1025,DOM1,C17693,C338
548,1152644,U1025,DOM1,C17693,C338
549,1153024,U1025,DOM1,C17693,C1046
550,1153118,U1025,DOM1,C17693,C1046
551,1153716,U1025,DOM1,C17693,C1046
552,1155729,U1025,DOM1,C17693,C3597
553,1161953,U3005,DOM1,C17693,C78
554,1161982,U3005,DOM1,C17693,C52
555,1161992,U3005,DOM1,C17693,C1302
556,1162004,U3005,DOM1,C17693,C1887
557,1162994,U9263,DOM1,C17693,C1015
558,1163138,U9263,DOM1,C17693,C1015
559,1163160,U66,DOM1,C17693,C2388
560,1163172,U66,DOM1,C17693,C3610
561,1163440,U7507,DOM1,C17693,C1015
562,1165092,U66,DOM1,C17693,C3610
563,1165480,U737,DOM1,C19932,C625
564,1165923,U66,DOM1,C17693,C155
565,1166288,U66,DOM1,C17693,C2388
566,1166301,U66,DOM1,C17693,C429
567,1166320,U66,DOM1,C17693,C3170
568,1166589,U2575,DOM1,C17693,C10
569,1166916,U737,C10,C17693,C10
570,1167125,U86,C10,C17693,C10
571,1167151,U86,C10,C17693,C10
572,1167193,U86,C10,C17693,C10
573,1167547,U66,DOM1,C17693,C423
574,1167670,U66,DOM1,C17693,C2079
575,1167688,U1133,DOM1,C17693,C2079
576,1167720,U1133,DOM1,C17693,C2079
577,1167801,U1133,DOM1,C17693,C1936
578,1167994,U66,DOM1,C17693,C3037
579,1168077,U66,DOM1,C17693,C1509
580,1168100,U66,DOM1,C17693,C92
581,1170101,U1653,DOM1,C22409,C754
582,1170101,U1653,DOM1,C22409,C754
583,1170101,U1653,DOM1,C22409,C754
584,1170581,U1653,DOM1,C22409,C754
585,1170581,U1653,DOM1,C22409,C754
586,1170581,U1653,DOM1,C22409,C754
587,1170581,U1653,DOM1,C22409,C754
588,1170583,U1653,DOM1,C22409,C754
589,1170583,U1653,DOM1,C22409,C754
590,1171486,U3005,DOM1,C17693,C1887
591,1172487,U2758,DOM1,C17693,C10405
592,1172817,U3635,DOM1,C17693,C22766
593,1174646,U2575,DOM1,C17693,C8751
594,1175047,U9407,DOM1,C17693,C96
595,1176661,U737,DOM1,C17693,C385
596,1177633,U737,DOM1,C17693,C3491
597,1177653,U24,DOM1,C17693,C3491
598,1177987,U3005,DOM1,C17693,C1710
599,1178086,U24,DOM1,C17693,C2378
600,1178149,U24,DOM1,C17693,C4934
601,1178234,U3635,DOM1,C17693,C8209
602,1178267,U66,DOM1,C17693,C1710
603,1178388,U24,DOM1,C17693,C1581
604,1178788,U3005,DOM1,C17693,C1810
605,1178955,U9263,DOM1,C17693,C828
606,1179107,U1581,DOM1,C17693,C115
607,1179121,U1581,DOM1,C17693,C1006
608,1179228,U1569,DOM1,C17693,C1632
609,1179410,U7507,DOM1,C17693,C1015
610,1179553,U655,DOM1,C17693,C3037
611,1179589,U655,DOM1,C17693,C1710
612,1179625,U66,DOM1,C17693,C3758
613,1179675,U4448,DOM1,C17693,C9006
614,1179969,U86,DOM1,C17693,C395
615,1180104,U86,DOM1,C17693,C395
616,1180895,U3549,DOM1,C17693,C457
617,1181043,U3549,DOM1,C17693,C586
618,1181615,U3549,DOM1,C17693,C529
619,1181653,U3549,DOM1,C17693,C528
620,1181672,U3549,DOM1,C17693,C528
621,1181709,U3549,DOM1,C17693,C625
622,1182115,U3549,DOM1,C17693,C528
623,1184027,U86,DOM1,C17693,C395
624,1184399,U8170,DOM1,C17693,C313
625,1184445,U8170,DOM1,C17693,C313
626,1184507,U86,DOM1,C17693,C395
627,1184879,U86,DOM1,C17693,C395
628,1233528,U8946,DOM1,C17693,C19038
629,1233528,U8946,DOM1,C17693,C19038
630,1233528,U8168,C19038,C17693,C19038
631,1233528,U8168,C19038,C17693,C19038
632,1233528,U8168,C19038,C17693,C19038
633,1233528,U8946,DOM1,C17693,C19038
634,1233528,U8946,DOM1,C17693,C19038
635,1233528,U8946,DOM1,C17693,C19038
636,1233528,U8946,DOM1,C17693,C19038
637,1233528,U8946,DOM1,C17693,C19038
638,1233528,U8946,DOM1,C17693,C19038
639,1233528,U8946,DOM1,C17693,C19038
640,1241392,U825,DOM1,C17693,C2669
641,1242383,U8170,DOM1,C17693,C313
642,1243515,U1506,DOM1,C17693,C2388
