,time,s_user,s_domain,d_user,d_domain,scom,dcom,a_t,logon_type,a_ot,s/f
0,3911351,C4426,DOM1,C4426$,DOM1,C4426,C4426,?,Network,LogOff,"Success
"
0,331759,U54,DOM1,U54,DOM1,C229,C229,?,Network,LogOff,"Success
"
0,931363,U66,DOM1,U66,DOM1,C1747,C1747,Kerberos,Network,LogOn,"Success
"
0,268461,U801,DOM1,U801,DOM1,C3884,C529,Kerberos,Network,LogOn,"Success
"
0,1975328,C599,DOM1,C599$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,1238992,C7999,DOM1,C7999$,DOM1,C7999,C528,Kerberos,Network,LogOn,"Success
"
0,2433476,C1464,DOM1,C1464$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,1095142,U5213,DOM1,U5213,DOM1,C12349,C12349,?,?,TGS,"Success
"
0,1237804,C477,DOM1,C477$,DOM1,C477,C1065,Kerberos,Network,LogOn,"Success
"
0,706172,U2945,DOM1,U2945,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,755113,C1329,DOM1,C1329$,DOM1,C1329,C586,Kerberos,Network,LogOn,"Success
"
0,1933931,C19426,DOM1,C19426$,DOM1,C324,C324,?,Network,LogOff,"Success
"
0,2796497,C24414,DOM1,C24414$,DOM1,C24414,C586,Kerberos,Network,LogOn,"Success
"
0,4031749,C20491,DOM1,C20491$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,3510843,C6431,DOM1,C6431$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,4400639,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C1159,C586,NTLM,Network,LogOn,"Success
"
0,1768329,C2850,DOM1,C2850$,DOM1,C2850,C467,NTLM,Network,LogOn,"Success
"
0,2822454,U1,DOM1,U1,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,3570192,U4248,DOM1,U4248,DOM1,C3173,C3173,?,Network,LogOff,"Success
"
0,2247652,C13262,DOM1,C13262$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4857371,U1186,DOM1,U1186,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,324865,C1642,DOM1,C1642$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,1840878,C5602,DOM1,C5602$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,1501459,U292,DOM1,U292,DOM1,C1115,C1115,?,?,TGT,"Success
"
0,830271,C2240,DOM1,C2240$,DOM1,C2240,C1640,?,?,TGS,"Success
"
0,534061,U2441,DOM1,U2441,DOM1,C1015,C1015,?,Network,LogOff,"Success
"
0,4140416,U1249,DOM1,U1249,DOM1,C219,C2162,Kerberos,Network,LogOn,"Success
"
0,3634495,C6583,DOM1,C6583$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,3027430,U598,DOM1,U598,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,2294504,C1345,DOM1,C1345$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,2137411,C5778,DOM1,C5778$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,2424672,C397,DOM1,C397$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,1327069,C15450,DOM1,C15450$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,3555727,U2,DOM1,U2,DOM1,C7,C7,NTLM,Network,LogOn,"Success
"
0,4094493,C6558,DOM1,C6558$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,840655,U4969,DOM1,U4969,DOM1,C3173,C3173,?,Network,LogOff,"Success
"
0,3997853,U2360,DOM1,U2360,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,302518,C7936,DOM1,C7936$,DOM1,C3173,C3173,?,Network,LogOff,"Success
"
0,2463267,U8127,DOM1,U8127,DOM1,C1618,C1617,?,?,TGS,"Success
"
0,3508696,ANONYMOUS LOGON,C467,ANONYMOUS LOGON,C467,C8386,C467,NTLM,Network,LogOn,"Success
"
0,4292191,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C586,C586,?,Network,LogOff,"Success
"
0,2626115,U1950,DOM1,U1950,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,1246445,C538,DOM1,C538$,DOM1,C539,C523,Kerberos,Network,LogOn,"Success
"
0,4725751,C3134,DOM1,C3134$,DOM1,C3134,C625,Kerberos,Network,LogOn,"Success
"
0,1893748,C7041,DOM1,C7041$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3226455,C1022,DOM1,C1022$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4921234,C7133,DOM1,C7133$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,4350359,C542,DOM1,C542$,DOM1,C542,C542,?,Network,LogOff,"Success
"
0,1234953,U712,DOM1,U712,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,4634925,U346,DOM1,U346,DOM1,C1183,C449,Kerberos,Network,LogOn,"Success
"
0,789727,U9412,DOM1,U9412,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,477222,C8511,DOM1,SYSTEM,C8511,C8511,C8511,Negotiate,Service,LogOn,"Success
"
0,180281,U4137,DOM1,U4137,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3964581,C4311,DOM1,C4311$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,3611059,U5161,DOM1,U5161,DOM1,C25541,C467,Kerberos,Network,LogOn,"Success
"
0,556190,C3,DOM1,C3$,DOM1,C1015,C1015,?,Network,LogOff,"Success
"
0,4278840,C16251,DOM1,C16251$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4795010,C22912,DOM1,C22912$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,302051,C1065,DOM1,C1065$,DOM1,C1065,C1065,Kerberos,Network,LogOn,"Success
"
0,4072476,C5953,DOM1,C5953$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,2618010,C16837,DOM1,C16837$,DOM1,C16837,C467,Kerberos,Network,LogOn,"Success
"
0,4754495,C13960,DOM1,C13960$,DOM1,C13960,C529,Kerberos,Network,LogOn,"Success
"
0,2200701,C10041,DOM1,C10041$,DOM1,C10041,C457,Kerberos,Network,LogOn,"Success
"
0,3001407,C431,DOM1,C431$,DOM1,C431,C467,Kerberos,Network,LogOn,"Success
"
0,1815058,C10916,DOM1,C10916$,DOM1,C10916,C467,Kerberos,Network,LogOn,"Success
"
0,1370349,C19778,DOM1,C19778$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,1261081,C467,DOM1,C467$,DOM1,C467,C457,Kerberos,Network,LogOn,"Success
"
0,331497,U1207,DOM1,U1207,DOM1,C1182,C586,?,?,TGS,"Success
"
0,2119370,C7804,DOM1,C7804$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,2312950,U9830,DOM1,U9830,DOM1,C1115,C1115,?,?,TGT,"Success
"
0,773227,C599,DOM1,C599$,DOM1,C1619,C553,Kerberos,Network,LogOn,"Success
"
0,4277856,C1254,DOM1,C1254$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4775632,C13940,DOM1,C13940$,DOM1,C13940,C625,Kerberos,Network,LogOn,"Success
"
0,1042647,C1766,DOM1,C1766$,DOM1,C1968,C457,Kerberos,Network,LogOn,"Success
"
0,1099025,C19166,DOM1,C19166$,DOM1,C19166,C529,Kerberos,Network,LogOn,"Success
"
0,2948103,C298,DOM1,SYSTEM,C298,C298,C298,Negotiate,Service,LogOn,"Success
"
0,1823871,C464,DOM1,C464$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,3489891,U1032,DOM1,U1032,DOM1,C1519,C2753,?,?,TGS,"Success
"
0,2008240,C2319,DOM1,C2319$,DOM1,C2320,TGT,?,?,TGS,"Success
"
0,3557801,C7930,DOM1,C7930$,DOM1,C7930,C5618,Kerberos,Network,LogOn,"Success
"
0,1069069,C8928,DOM1,C8928$,DOM1,C8928,C529,Kerberos,Network,LogOn,"Success
"
0,2594400,U5252,DOM1,U5252,DOM1,C908,C625,Kerberos,Network,LogOn,"Success
"
0,1202272,U608,DOM1,U608,DOM1,C14825,C14825,?,Network,LogOff,"Success
"
0,2890140,U2,DOM1,U2,DOM1,C7,C7,?,Network,LogOff,"Success
"
0,2626616,U42,DOM1,U42,DOM1,C4313,C4313,?,?,TGT,"Success
"
0,4832343,U71,DOM1,U71,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,1934937,C12583,DOM1,C12583$,DOM1,C12583,C528,Kerberos,Network,LogOn,"Success
"
0,959891,C2491,DOM1,C2491$,DOM1,C2492,C528,?,?,TGS,"Success
"
0,2650768,C3772,DOM1,C3772$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,1106307,U4936,DOM1,U4936,DOM1,C12019,C324,Kerberos,Network,LogOn,"Success
"
0,3282698,U54,DOM1,U54,DOM1,C229,C229,?,Network,LogOff,"Success
"
0,1667679,U8406,DOM1,U8406,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,560226,C20762,DOM1,C20762$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,3899303,C1880,DOM1,C1880$,DOM1,C1880,C529,Kerberos,Network,LogOn,"Success
"
0,3533780,C15102,DOM1,C15102$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,2351744,C743,DOM1,C743$,DOM1,C743,C586,Kerberos,Network,LogOn,"Success
"
0,400103,C11906,DOM1,C11906$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,2156187,C586,DOM1,C586$,DOM1,C586,C586,Kerberos,Network,LogOn,"Success
"
0,2074655,U5689,DOM1,U5689,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,469533,U3613,DOM1,U3613,DOM1,C1881,C1881,?,Network,LogOff,"Success
"
0,1627335,C1985,DOM1,C1985$,DOM1,C1986,C467,Kerberos,Network,LogOn,"Success
"
0,704410,U4492,DOM1,U4492,DOM1,C3173,C3173,?,Network,LogOff,"Success
"
0,4779423,U4155,DOM1,C10568$,DOM1,C10568,C10568,?,?,AuthMap,"Success
"
0,3529454,C9999,DOM1,C9999$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,2223710,C7298,DOM1,C7298$,DOM1,C5306,C5306,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,"Fail
"
0,1238187,C11063,DOM1,SYSTEM,C11063,C11063,C11063,Negotiate,Service,LogOn,"Success
"
0,4268499,C2475,DOM1,C2475$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,2530650,C16146,DOM1,C16146$,DOM1,C16146,C457,?,?,TGS,"Success
"
0,3253098,C9836,DOM1,C9836$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,1271584,C19801,DOM1,C19801$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,4794675,C2129,DOM1,C2129$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,1730546,C1708,DOM1,C1708$,DOM1,C1709,C529,Kerberos,Network,LogOn,"Success
"
0,1260653,U2414,DOM1,U2414,DOM1,C6799,C585,Kerberos,Network,LogOn,"Success
"
0,1070274,U7048,DOM1,U7048,DOM1,C19739,C19739,Negotiate,Unlock,LogOn,"Success
"
0,4043816,C22658,DOM1,C22658$,DOM1,C22658,C586,NTLM,Network,LogOn,"Success
"
0,4710104,C6971,DOM1,C6971$,DOM1,C6971,C3173,Kerberos,Network,LogOn,"Success
"
0,4465504,U5645,DOM1,U5645,DOM1,C13232,C3034,Kerberos,Network,LogOn,"Success
"
0,3399635,C480,DOM1,C480$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,2564934,U66,DOM1,U66,DOM1,C2737,C2737,Kerberos,Network,LogOn,"Success
"
0,2660121,U22,DOM1,U22,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,2363570,C15189,DOM1,C15189$,DOM1,C15189,C3173,Kerberos,Network,LogOn,"Success
"
0,1238384,C17928,DOM1,C17928$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,997322,U3485,DOM1,U3485,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4344123,C128,DOM1,SYSTEM,C128,C128,C128,Negotiate,Service,LogOn,"Success
"
0,1180429,C7679,DOM1,C7679$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,3063704,U9355,DOM1,U9355,DOM1,C19709,C19709,Negotiate,Unlock,LogOn,"Success
"
0,1840082,U3016,DOM9,U3016,DOM9,C1503,C1640,?,?,TGS,"Success
"
0,737397,ANONYMOUS LOGON,C2679,ANONYMOUS LOGON,C2679,C2679,C2679,?,Network,LogOff,"Success
"
0,4007166,C7804,DOM1,C7804$,DOM1,C7804,C586,?,?,TGS,"Success
"
0,1006274,C1114,DOM1,C1114$,DOM1,C1085,C1085,?,Network,LogOff,"Success
"
0,1511809,C6857,DOM1,C6857$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4888799,C9384,DOM1,C9384$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,2423998,C18716,DOM1,C18716$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,1782766,C396,DOM1,C396$,DOM1,C396,C612,?,?,TGS,"Success
"
0,3933429,U66,DOM1,U66,DOM1,C2331,C2331,Kerberos,Network,LogOn,"Success
"
0,2287555,C586,DOM1,C586$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4625675,C15166,DOM1,C15166$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,559310,C15953,DOM1,C15953$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,4887759,U3873,DOM1,U3873,DOM1,C9871,C2327,?,?,TGS,"Success
"
0,4513950,C620,DOM1,C620$,DOM1,C620,C528,NTLM,Network,LogOn,"Success
"
0,65660,C4143,DOM1,C4143$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,1320560,C585,DOM1,C585$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,4667238,C14122,DOM1,C14122$,DOM1,C14122,C467,Kerberos,Network,LogOn,"Success
"
0,3072127,U7403,DOM1,U7403,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,484670,U3245,DOM1,U3245,DOM1,C8631,C8631,?,Unlock,LogOff,"Success
"
0,3820800,C10878,DOM1,C10878$,DOM1,C10878,C529,Kerberos,Network,LogOn,"Success
"
0,3441500,C1712,DOM1,C1712$,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,2963787,C22759,DOM1,C22759$,DOM1,C22759,C467,Kerberos,Network,LogOn,"Success
"
0,4102708,C20640,DOM1,C20640$,DOM1,C1015,C1015,?,Network,LogOff,"Success
"
0,2062636,C1766,DOM1,C1766$,DOM1,C1968,C553,Kerberos,Network,LogOn,"Success
"
0,1970572,C11159,DOM1,C11159$,DOM1,C11159,C625,Kerberos,Network,LogOn,"Success
"
0,1391206,U8771,DOM1,U8771,DOM1,C18652,C457,Kerberos,Network,LogOn,"Success
"
0,1065008,C585,DOM1,C585$,DOM1,C585,C586,?,?,TGS,"Success
"
0,3694597,C1570,DOM1,C1570$,DOM1,C1570,C529,Kerberos,Network,LogOn,"Success
"
0,4176147,C599,DOM1,C599$,DOM1,C1619,C599,?,?,TGS,"Success
"
0,1372270,U8536,DOM1,U8536,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,3100680,U78,?,U78,?,C457,C457,?,?,TGT,"Fail
"
0,3355342,C1710,DOM1,U113,DOM1,C1710,C1710,Negotiate,NetworkCleartext,LogOn,"Success
"
0,2584704,C19008,DOM1,C19008$,DOM1,C19008,C586,?,?,TGS,"Success
"
0,4918907,C585,DOM1,C585$,DOM1,C585,C586,Kerberos,Network,LogOn,"Success
"
0,4255077,NETWORK SERVICE,C20046,NETWORK SERVICE,C20046,C20046,C20046,Negotiate,Service,LogOn,"Success
"
0,4779873,U5151,DOM1,U5151,DOM1,C2162,C2162,?,Network,LogOff,"Success
"
0,4496498,C567,DOM1,C567$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,3606687,U8638,DOM1,U8638,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,1848151,C2248,DOM1,C2248$,DOM1,C2249,C612,?,?,TGS,"Success
"
0,3243545,C19854,DOM1,C19854$,DOM1,C1798,C19854,Kerberos,Network,LogOn,"Success
"
0,4971795,C1065,DOM1,C1065$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,859340,C10125,DOM1,C10125$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,1012823,C5608,DOM1,C5608$,DOM1,C5608,C612,Kerberos,Network,LogOn,"Success
"
0,4258129,NETWORK SERVICE,C9705,NETWORK SERVICE,C9705,C9705,C9705,Negotiate,Service,LogOn,"Success
"
0,3031719,C13270,DOM1,C13270$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,4718044,C3117,DOM1,C3117$,DOM1,C3117,C467,Kerberos,Network,LogOn,"Success
"
0,3916941,U66,DOM1,U66,DOM1,C1581,C1581,NTLM,Network,LogOn,"Success
"
0,1906561,C9483,DOM1,C9483$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,525105,C10612,DOM1,C10612$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,373864,C16299,DOM1,C16299$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,3496359,C1171,DOM1,C1171$,DOM1,C1171,C467,?,?,TGS,"Success
"
0,2930707,C3845,DOM1,C3845$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,2081442,C19861,DOM1,C19861$,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,2384918,C1015,DOM1,C1015$,DOM1,C5744,C5744,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,"Fail
"
0,4087028,LOCAL SERVICE,C18450,LOCAL SERVICE,C18450,C18450,C18450,Negotiate,Service,LogOn,"Success
"
0,4388016,U4216,DOM1,U4216,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,119399,U748,DOM1,U748,DOM1,C1814,C1173,NTLM,Network,LogOn,"Success
"
0,3968644,U1117,DOM1,U1117,DOM1,C1307,C3443,Kerberos,Network,LogOn,"Success
"
0,3585922,C22507,DOM1,C22507$,DOM1,C22508,C1065,Kerberos,Network,LogOn,"Success
"
0,2384240,U6134,DOM1,U6134,DOM1,C13918,C586,Kerberos,Network,LogOn,"Success
"
0,4891566,C2084,DOM1,C2084$,DOM1,C467,C467,?,Network,LogOff,"Success
"
0,2929028,C5262,DOM1,C5262$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,2537299,U8999,DOM1,U8999,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,2626468,C16835,DOM1,C16835$,DOM1,C16835,C467,Kerberos,Network,LogOn,"Success
"
0,802420,C2523,DOM1,C2523$,DOM1,C2524,C2524,?,?,TGT,"Success
"
0,3573721,U749,DOM1,U749,DOM1,C5292,C586,?,?,TGS,"Success
"
0,3651643,C3429,DOM3,U10899,DOM3,C3429,C3429,Negotiate,Interactive,LogOn,"Success
"
0,3486080,C8670,DOM1,C8670$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,2223153,U4777,DOM1,U4777,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,3567448,C8219,DOM1,C8219$,DOM1,C8219,C8219,?,Network,LogOff,"Success
"
0,4384760,NETWORK SERVICE,C18539,NETWORK SERVICE,C18539,C18539,C18539,Negotiate,Service,LogOn,"Success
"
0,1183058,C19883,DOM1,C19883$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,3284397,C5246,DOM1,C5246$,DOM1,C5246,C529,Kerberos,Network,LogOn,"Success
"
0,4214588,C12019,DOM1,C12019$,DOM1,C528,C528,?,Network,LogOff,"Success
"
0,2020329,C123,DOM1,C123$,DOM1,C101,C101,?,Network,LogOff,"Success
"
0,313000,C528,DOM1,C528$,DOM1,C528,C529,Kerberos,Network,LogOn,"Success
"
0,1328806,C5431,DOM1,C5431$,DOM1,C5431,C529,Kerberos,Network,LogOn,"Success
"
0,1406481,C1340,DOM1,C1340$,DOM1,C467,C467,Kerberos,Network,LogOn,"Success
"
0,2300780,U8,DOM1,U8,DOM1,C1,C1,?,Network,LogOff,"Success
"
0,3043095,C4185,DOM1,C4185$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,3985520,C5030,DOM1,C5030$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,140144,U22,DOM1,U22,DOM1,C529,C529,?,Network,LogOff,"Success
"
0,2764010,U4883,DOM1,U4883,DOM1,C11693,C467,Kerberos,Network,LogOn,"Success
"
0,3278786,C997,DOM1,C997$,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,1780945,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C1209,C586,NTLM,Network,LogOn,"Success
"
0,125372,U5671,DOM1,U5671,DOM1,C13223,C801,Kerberos,Network,LogOn,"Success
"
0,1858852,U3423,DOM1,U3423,DOM1,C8960,C467,?,?,TGS,"Success
"
0,1407265,C586,DOM1,C586$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,481031,U203,DOM1,U203,DOM1,C27137,C3173,Kerberos,Network,LogOn,"Success
"
0,4449470,U4103,DOM1,U4103,DOM1,C10423,C625,Kerberos,Network,LogOn,"Success
"
0,2089534,C16312,DOM1,C16312$,DOM1,C2106,C2106,?,Network,LogOff,"Success
"
0,3715298,C153,DOM1,C153$,DOM1,C1065,C1065,?,Network,LogOff,"Success
"
0,3140802,U5423,DOM1,U5423,DOM1,C12790,C1025,Kerberos,Network,LogOn,"Success
"
0,3200703,C8062,DOM1,C8062$,DOM1,C801,C801,?,Network,LogOff,"Success
"
0,280857,C1035,DOM1,C1035$,DOM1,C1035,C586,Kerberos,Network,LogOn,"Success
"
0,3518361,U22,DOM1,U22,DOM1,C965,C457,Kerberos,Network,LogOn,"Success
"
0,4342230,C14469,DOM1,C14469$,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,204299,U7554,DOM1,U7554,DOM1,C457,C457,?,Network,LogOff,"Success
"
0,176461,C988,DOM1,C988$,DOM1,C988,C2106,Kerberos,Network,LogOn,"Success
"
0,2882671,C22085,DOM1,C22085$,DOM1,C22085,C3173,Kerberos,Network,LogOn,"Success
"
0,2165405,ANONYMOUS LOGON,C586,ANONYMOUS LOGON,C586,C118,C586,NTLM,Network,LogOn,"Success
"
0,3021655,U7,DOM1,U7,DOM1,C921,C921,Kerberos,Network,LogOn,"Success
"
0,4060979,C892,DOM1,C892$,DOM1,C892,C586,?,?,TGS,"Success
"
0,4273197,C7418,DOM1,C7418$,DOM1,C561,C561,?,Network,LogOff,"Success
"
0,3879942,C3188,DOM1,C3188$,DOM1,C3188,C3188,?,Network,LogOff,"Success
"
0,3538524,C1713,DOM1,C1713$,DOM1,C1713,C1713,?,Network,LogOff,"Success
"
0,175296,U2971,DOM1,U2971,DOM1,C801,C801,?,Network,LogOff,"Success
"
0,3587409,U2640,DOM1,U2640,DOM1,C7381,C625,Kerberos,Network,LogOn,"Success
"
0,4971773,U6,DOM1,U6,DOM1,C449,C2106,Kerberos,Network,LogOn,"Success
"
0,2599692,C213,DOM1,C213$,DOM1,C213,C586,Kerberos,Network,LogOn,"Success
"
0,3912275,C19004,DOM1,C19004$,DOM1,C19004,C612,Kerberos,Network,LogOn,"Success
"
0,2881165,C14286,DOM1,C14286$,DOM1,C14286,C528,Kerberos,Network,LogOn,"Success
"
0,722394,C1727,DOM1,C1727$,DOM1,C1727,C1727,Kerberos,Network,LogOn,"Success
"
0,1998192,C2425,DOM1,C2425$,DOM1,C2426,C586,?,?,TGS,"Success
"
0,2851978,C5467,DOM1,C5467$,DOM1,C5467,C612,Kerberos,Network,LogOn,"Success
"
0,598169,C1846,DOM1,C1846$,DOM1,C1846,C625,Kerberos,Network,LogOn,"Success
"
0,2248752,U3311,DOM1,U3311,DOM1,C612,C612,?,Network,LogOff,"Success
"
0,4100292,C10129,DOM1,C10129$,DOM1,C24116,C1015,NTLM,Network,LogOn,"Success
"
0,2288288,U11047,DOM1,U11047,DOM1,C574,C574,?,?,TGT,"Success
"
0,3588081,C3796,DOM1,C3796$,DOM1,C3796,C457,Kerberos,Network,LogOn,"Success
"
0,4208931,U9052,DOM1,U9052,DOM1,C449,C449,?,Network,LogOff,"Success
"
0,31886,C1110,DOM1,C1110$,DOM1,C625,C625,?,Network,LogOff,"Success
"
0,4738135,U9745,DOM1,U9745,DOM1,C25333,C5618,NTLM,Network,LogOn,"Success
"
0,4100734,C529,DOM1,C529$,DOM1,C1521,C529,Kerberos,Network,LogOn,"Success
"
0,3164643,C20750,DOM1,C20750$,DOM1,C20750,C20750,?,?,TGT,"Success
"
0,304953,U75,DOM1,U75,DOM1,C1710,C1710,?,Interactive,LogOff,"Success
"
0,2282177,C12505,DOM1,C12505$,DOM1,C586,C586,?,Network,LogOff,"Success
"
0,2993362,NETWORK SERVICE,C16543,NETWORK SERVICE,C16543,C16543,C16543,Negotiate,Service,LogOn,"Success
"
0,4758343,U218,DOM1,U218,DOM1,C824,C2310,?,?,AuthMap,"Success
"
0,2301064,U4079,DOM1,U4079,DOM1,C10428,C2106,Kerberos,Network,LogOn,"Success
"
